,1,0
"""El PSE-PSOE - según Jaúregui -, lo que ha pretendido es que el lehendakari liderara un proceso de recuperación de la unidad democrática, consciente de que el PNV no podía hacerlo, tenía más hipotecas, menos margen de maniobra, pero el lehendakari es el lehendakari de todos los vascos y el PSE-PSOE le propuso que liderara un proceso de cambio en el que él fuese el protagonista, acercándose más al PSOE y al PP"".",cop,1
"""Yo no pido que me protejan"", le dijo al jefe policial que le recomendaba que no se fuese caminando.",ccomp,1
"Además, la hembra debe poder poner otra nidada si fuese necesario.",cop,1
"Dicen que cuando preguntaron a Henry Ford en qué colores fabricaría el automóvil Ford modelo T - el primero, el revolucionario -, Ford contestó que en cualquier color mientras fuese negro.",cop,1
"El poder de los puños, la destreza, aguante físico y decisión para mantenerse de pie hasta el final hizo que su pelea fuese la mejor de lo que se lleva del año 2000 y muy difícil de superar después que se intercambiaron cerca de 1.500 golpes.",cop,1
"Este acuerdo tiene por objeto el establecimiento de normas mínimas para que el Estado en cuyo territorio se han producido ""delitos violentos"" indemnice a las víctimas de los mismos, en especial en los casos en los que el autor del delito no fuese identificado o careciera de recursos.",aux,1
"La tesis de la acusación pública fue desestimada tanto por el juez instructor como por la Audiencia de Barcelona, que ordenaron que el caso fuese juzgado por una falta de imprudencia leve con resultado de muerte y lesiones.",aux,1
"Pero creo que si fuese un tío feo y con barba ya lo hubiesen machacado -, comenta Sellarés.",cop,1
"Según Triadú, ""se trataría de que Microsoft sirviese de motor al eje tecnológico que quiere impulsar la Generalitat y que iría desde el campus de la Universidad Autónoma de Barcelona UAB, pasaría por el Parque Tecnológico del Vallés, que está en fase de ampliación; bajaría a lo largo de la B-30 alcanzando el proyecto 22 @ en el Poblenou de Barcelona, y terminaría en el campus de Castelldefels de la Universidad Politécnica de Cataluña UPC"".",ccomp,1
"Si así fuese, el precio político estaría entre las 20.000 y 40.000 pesetas.",advcl,1
