,0
Nem Lula nem o partido ainda encontraram um discurso para se diferenciar.,expl
"Eles se dizem oposição, mas ainda não informaram o que vão combater.",expl
"Os jogadores se dividem pelos dez quartos do alojamento, equipados com frigobar, ar condicionado, televisão e telefone.",expl
"O atacante, que deveria ter se apresentado anteontem à noite, pediu mais um dia de folga ao treinador.",expl
"Herbert Berger, diretor-superintendente da empresa, diz que o Charade «se aproxima do Honda Civic em tamanho e custa bem menos».",expl
"Começou bem antes do que se previa a batalha pela futura sucessão na Fifa apenas seis meses depois do super-acordo que, nas vésperas da Copa, reconduziu o brasileiro João Havelange ao sexto mandato consecutivo.",nsubj
"Abstratos entre medianos e medíocres, como Fukushima, Pérsio, Raimo e Douchez, têm o mesmo ou maior destaque que Volpi e nada que se possa chamar de autonomia para oferecer como lenitivo.",nsubj
Romário não se exercitou nas cobranças de falta e pênalti.,expl
"Toda a comissão técnica sabe que Romário é de treinar pouco, geralmente se poupando entre dois jogos difíceis.",expl
"Não se trata simplesmente da questão da escravidão certamente ter tido efeitos duradouros sobre a cultura negra, nem mesmo dela ter exercido um amplo efeito negativo sobre a auto-confiança e auto-estima dos negros, mas mais especificamente da experiência da escravatura ter desvirtuado e tolhido a evolução do algoritmo etnocêntrico que os negros americanos teriam desenvolvido no decorrer normal dos acontecimentos.",expl
"Eles tiveram que fazer isso se os escravos fossem superiores em qualidades que os próprios brancos valorizavam, onde estaria a justificativa moral para mantê-los escravizados?",mark
"Mesmo a simples tentativa de se documentar esse ponto deixa uma pessoa exposta a acusações de condescendência e, assim, os brancos de fato conseguiram cooptar os julgamentos de valor.",iobj
É ainda mais óbvio que é impossível falar abertamente sobre o superioridade de muitos atletas negros sem ser sujeito a acusações de que se estar sendo anti-negro de uma maneira enviesada.,nsubj
"Agora, os oficiais envolvidos se referem sempre ao comando das ações como Centro de Coordenação de Operações de Combate ao Crime Organizado (Ccocco).",expl
"Para fazer uma boa compra, a técnica do Procon recomenda ao consumidor que verifique se já há dentro de casa os tradicionais equipamentos que desempenham as mesmas funções do conjugado, só que separadamente.",mark
"Caso a opção seja pelo aparelho multiuso, o comprador deve checar se o produto tem assistência técnica, diz ela.",mark
"Primeiro aprova-se o texto enxuto e depois negocia-se a aprovação, sem prazo definido, das leis complementares e ordinárias.",expl
"Os arquivos são protegidos por senhas e códigos, que acabaram mostrando-se vulneráveis.",expl
O conselho fiscal entende que os acionistas não devem mais «suportar investir dinheiro bom em companhia sem condições de se reerguer».,iobj
QUADRINHISTAS DO BRASIL inteiro se reúnem entre sexta-feira e domingo em Araxá (MG).,expl
"Pode-se agora recomendar um texto definitivo para o conselho da organização», disse o porta-voz.",nsubj
"Não falei nada, mas visualizei a Sra. Oke, sentada no salão amarelo, o mesmo salão onde nenhum Oke de Okehurst exceto ela ousava permanecer sozinho, envergando o vestido de sua antepassada e confrontando-se, por assim dizer, com aquela coisa vaga, plangente, que parecia permear o aposento ... aquela vaga presença -- assim me parecia do galante poeta assassinado.",expl
O relatório não diz se as reuniões entre funcionários da Casa Branca e do Tesouro violaram a ética.,mark
Trata-se do segundo volume da exploração do pop asiático por David Byrne:,expl
"Pegam os dois pimpolhos Joana e Luca e se mandam para Lake Powell, Arizona.",expl
Também é necessário alertar toda a sociedade para a importância de se reduzir as perdas de alimentos.,nsubj
O mesmo não se pode dizer da pintura de Cy Twombly.,nsubj
Passamos por dificuldades: meu pai perdeu praticamente todo o seu patrimônio por se dedicar 100 % à política»,expl
"Com a intervenção no Rio, que se cuide o resto do país!",obj
"O candidato deu rápida entrevista no saguão do aeroporto e dirigiu-se ao Hotel Delmonicos, na Park Avenue, em Manhattan, onde a diária é de US$ 195 (CR$ 253 mil) no fim de semana e US$ 250 (CR$ 325 mil) de segunda a sexta-feira.",expl
"Pelas razões alinhadas, que não refletem apenas conjeturas teóricas, mas a experiência duramente vivida pela nação nas últimas duas décadas, se impõe dar um basta definitivo a todos os remanescentes de indexação formal, sejam eles nas taxas de juros nominais (TR), no recolhimento dos tributos (Ufir e correlatos) e nos salários (IPC-r).",nsubj
Ciro não quis confirmar se a TR (Taxa Referencial) deixará de corrigir esses financiamentos.,mark
"Os jovens têm se encontrado em Atalaia, principalmente entre quarta-feira e domingo, quando são realizados jogos de voleibol.",expl
"No clima de sinistrose, as fragilidades do PT não ficaram tão visíveis à opinião pública: a dificuldade de se fazerem alianças capazes de sustentar Lula quando virasse presidente; os aloprados que conquistaram posições estratégicas no partido; a falta de generalizada convicção sobre o valor da democracia.",nsubj
"Além disso, tem que se alterar o aparato jurídico para favorecer ações de negociação.",nsubj
"Só assim se evitará a estratificação da legislação, permitindo que o sistema acompanhe de maneira dinâmica as transformações na economia.",nsubj
A legislação prevê multa de 300% sobre o valor da venda para quem se recusar a emitir a nota.,expl
"Simplesmente tornara-se impossível, por razões tecnológicas, comerciais e financeiras, estimular o desenvolvimento com base na substituição de importações.",expl
"Tal política convertera-se, com o avanço da globalização econômica, em sinônimo de proteção ao atraso, ao desperdício e à ineficiência.",expl
"De um lado reforça a estabilização, pois qualquer eventual aumento irresponsável de preços depara-se agora mais rapidamente com a concorrência de similares importados; de outro, ajuda a aliviar a supervalorização do real, pois quanto mais importações houver, maior será a procura por dólares.",expl
"Resta portanto saber se as medidas anunciadas, em tese adequadas, terão na prática o efeito que se espera.",nsubj
"Esse palco, além de revelar inúmeros talentos que depois se «refugiaram» na Europa, como Sonia Motta, serviu para Marilena inaugurar a fase mais fértil de sua carreira.",expl
"O acordo não se tornou público, mas, agora, se sabe que foram feitas muitas concessões políticas.",nsubj
"Além do zagueiro Grun e do centroavante Weber, o lateral-esquerdo Vital Borkelmans encontra-se também com um cartão amarelo e pode ficar de fora hoje.",expl
"Eles se intitulavam filiais da MIT Dealing Management Inc., dos Estados Unidos.",expl
"Tem que se pensar, para o Brasil, em uma empresa com modelo acionário flexível, que permita incorporar, em uma única marca, os esforços individuais desses criadores e dispor da sinergia necessária para investir no mercado internacional.",nsubj
Não sei se fui claro: seria mais fácil um pinguim cruzar três Saaras do que FHC comer carne de bode espremido a um magote de sertanejos suados.,mark
"Não fosse a eleição, d. Luciano Mendes teria de negar Cristo três vezes para que nosso senador empuleirasse no lombo de um cavalo, envergando aquele chapéu de cangaceiro.",cop
"O Sindicato dos Metalúrgicos do Rio e do Grande Rio (data-base em outubro) se reúne hoje com representantes da Firjan (federação das indústrias do Rio) pela primeira vez desde o início da greve da categoria, na terça-feira.",expl
"Chiles, que pertence ao Partido Democrata e ao mesmo grupo neoconservador que ajudou Bill Clinton a chegar à Casa Branca, vai tentar se reeleger em novembro deste ano.",expl
"O governo se comprometeu a não «garfar» a poupança, nas palavras do presidente do BC.",expl
"O advogado Mariano Gonçalves Neto, autor da ação popular que se arrasta há 12 anos, acusa os ex-ministros de aprovarem uma superavaliação dos terrenos entregues pelo grupo Delfin como pagamento de uma dívida que, em 1982, chegava a Cr 70 milhões.",expl
"O ex-ministro da Fazenda Ernane Galvêas (governo Figueiredo) disse que sua participação no episódio limitou-se a um «de acordo» no processo que teria vindo pronto do Banco Nacional de Habitação, subordinado na época ao Ministério do Interior.",expl
"Terminado o Mundial, todas as atenções das seleções já se voltam para a Olimpíada de Atlanta.",expl
"Para isso, a comissão técnica não se cansa de estudar os outros times.",expl
"Para se ter uma idéia, no Brasil a melhor marca é de Hilma, com 3,12m.",nsubj
"Folha -- Mas no momento em que a nova moeda for criada, se os preços forem convertidos no pico, não será necessário um aperto monetário, uma recessão temporária?",mark
"Para tentar se recuperar do jet lag e da correria da exposição do marido no Yerba Buena, Regina Casé fez ontem saída pela tangente.",expl
"O governador se convenceu ainda de que, se abandonassse a candidatura, poderia se tornar refém de Quércia e perderia o poder de influência na escolha do candidato do PMDB.",expl
«Queremos saber se o bicho de São Paulo e o do Rio são ramificações de uma grande organização criminosa.,mark
"Se há um artigo em falta no mercado hoje todo tipo de mercado, diga-se é o otimismo.",obj
Por que não ousar ainda que ingenuamente esperar que as coisas desta vez se ajeitem?,expl
Para quem vai fazer a pesquisa no computador a separação de dados não faz nenhuma diferença: tudo funciona como se fizesse parte de um só arquivo.,fixed
"«Nós não vamos acreditar que um povo tão culto como o da Guanabara possa ter problemas como andam dizendo por aí», afirmou, referindo-se à população do antigo Estado da Guanabara, que desapareceu na fusão com o Estado do Rio de Janeiro.",expl
"De todo modo, uma sólida e longa parceria se configurava, alternando comédias e dramas cuja qualidade cinematográfica variava infinitamente mais que as virtudes de suas trilhas sonoras.",expl
"O baiano Dias Gomes, 70, está se preparando para ressuscitar um clássico da teledramaturgia brasileira.",expl
"À primeira vista, sim, mas é aí que se chega ao verdadeiro nó da questão.",nsubj
"De que adiantaria os jornais do dia seguinte omitirem os nomes, se eles já haviam sido arrastados à lama por um noticiário que atinge cerca de 60 milhões de pessoas, certamente mais do que a tiragem conjunta de todos os jornais brasileiros?",mark
O time pode empatar a segunda partida para se classificar.,expl
"«Nenhum eleitor evangélico deve se sentir culpado por ter opinião diferente de seu pastor ou líder espiritual», diz a cartilha.",expl
"Analisado isoladamente, é um imposto democrático e que, se levado à sua consequência lógica, o Imposto Único, poderia consumar a revolução tributária que o país deseja e precisa.",mark
Também nisto Bôscoli estava em seu elemento: poucos podiam ser mais hilariantemente viperinos desde que a piada não fosse dirigida contra você.,aux:pass
"Se eu fosse você, passava a andar de táxi especial e apresentava a conta à concessionária.",cop
O Brasil só sairá da sua mediocridade se se deixar incorporar à Amazônia.,nsubj
"E jamais chegará a isto se não tiver a total dedicação de alguém como Ricupero, um excepcional «cadre», que em pouco tempo convenceu os brasileiros da sua inteligência e competência na vida pública.",mark
Ele sequestrou e violentou três meninos com a intenção de lhes transmitir o vírus da Aids de que se sabia portador.,expl
"O presidente disse que pediu ao ministro das Minas e Energia, Alexis Stepanenko, que cheque também as estatais ligadas a ele para saber se também houve desobediência.",mark
"Em 1962, publica «Capitalismo e Escravidão no Brasil Meridional», primeira obra de sua autoria a se tornar referência nas ciências sociais do país.",expl
"Deve-se usar pedras (pedra goiás e ardósias), madeiras não-brilhantes (que riscam facilmente) e cerâmicas não-esmaltadas.",nsubj
"Por enquanto, se dedica à preparação física.",expl
Aristides está esperando a publicação do texto do FSE aprovado pelo Congresso para concluir se a desvinculação dessas verbas atinge ou não direitos individuais.,mark
"Preocupado com a facilidade de comunicação de seu adversário, Francisco Rossi, Mário Covas acatou as recomendações de assessores do presidente eleito, Fernando Henrique Cardoso, e se submeteu às técnicas de marketing.",expl
"Entregar-se, com a garantia de redução da pena, seria um bom negócio», disse Maciel.",expl
"Uma proposta plausível é a de se fixar um prazo determinado, três ou quatro meses, para que a sociedade se adapte voluntariamente à URV, estabelecendo regras privadas de conversão.",expl
Elas se algemaram entre si e nos móveis do escritório em protesto contra a utilização de peles animais em criações do estilista.,expl
"Na ocasião, Fidel Castro permitiu a saída de milhares de pessoas insatisfeitas com seu regime e abriu um novo espaço para se manter no poder.",expl
"Profissionais com longa experiência em cargos gerenciais e administrativos devem se preocupar, ao fazer o currículo, em mostrar a essência da carreira, resumindo suas conquistas e realizações.",expl
Alguns até se parecem com os meus.,expl
O próprio agredido informou à polícia de que não se tratava dos agressores.,expl
"A princípio, a dúvida era sobre a necessidade de se jogar com dois volantes meias que também auxiliam na defesa, Dunga e Mauro Silva.",nsubj
"Segundo Arnaldo Leite, coordenador do Programa de Capacitação Gerencial do Sebrae (Serviço Brasileiro de Apoio às Micro e Pequenas Empresas), o programa se distingue de similares de outros Estados por ter aval prévio do Tribunal de Contas.",expl
"O tricolor, após tantas decepções na temporada, vai às finais da Conmebol, caça-níqueis tão inexpressivo que o próprio São Paulo inscreveu apenas jogadores jovens, que se denominaram Leões, ao invés do tradicional Expressinho.",obj
"Em respeito à história, diga-se que o mal que a UDN fez ao país não decorreu de seu moralismo, mas de sua amoralidade.",nsubj
"O mal residia, enfim, no fato de que a política real da UDN se traduzia no que conspirava entre quatro paredes, sem uma antena parabólica que lhe pusesse termo e sem uma imprensa independente que revelasse, livre de paixões partidárias, sua vocação para renunciar ao Estado de Direito ao toque da primeira corneta.",expl
Mas como vou saber se meu amor é grande o suficiente?»,mark
"«Procure saber se você se entrega, ou se você foge de suas emoções.",mark
Não se pode medir um sentimento como se mede uma estrada.,nsubj
"Os agentes políticos, sociais e econômicos também têm de se reciclar, pois sua ação sobre o Legislativo paulistano só ocorre em função de interesses específicos.",expl
Trata-se do Eagle uma reedição com motor Toyota e chassis Lola do legendário carro feito por Dan Gurney.,expl
"Ontem, ela foi ao aeroporto e se disse contente por tê-lo «de volta ao colo».",expl
"Folha O Banco Central está se espelhando na experiência de algum outro país, em operação semelhante?",expl
Gazeta Filho confirmou que os dormentes se deterioraram muito antes do previsto.,expl
"Foi possível cumprir os 13,4 quilômetros do percurso em uma velocidade média de 40 km/h, incluindo-se a espera nos semáforos.",nsubj
"Embora ainda não possa ser definitivamente descartada, a hipótese da candidatura do ex-presidente José Sarney encontra-se pelo menos momentaneamente bastante afastada, abrindo espaço para que a campanha comece a deslanchar com base no atual grid de largada.",expl
O cálculo baseia-se na comparação dos preços brasileiros com o americano.,expl
"Para se ter uma idéia da importância da InterNet, a Casa Branca está conectada a essa rede, disponibilizando publicações e documentos para qualquer pessoa do mundo.",nsubj
"Vera Lucia Vassouras, que é negra e se diz militante do PDT, sustenta que os autores do livro «em nenhum momento afirmaram que os negros são geneticamente inferiores ao brancos».",expl
Mas a magnitude da diferença entre negros e brancos nos desvios padrões não se reduz.,expl
"Uma blusa preta pode ser usada com um sutiã branco se a saia for branca», explica.",mark
"Com a mudança, o metrô de São Paulo vai funcionar hoje uma hora a mais, como se tivesse duas meias-noites.",fixed
"Aqui, neste espaço onde se reverencia sua memória, eu a recordo amiga de toda uma vida, nossas longas vidas vividas na intensidade da paixão: com ela aprendi a bondade e o povo.",expl
Sommeliers paulistas se superam em evento,expl
"Com a desclassificação, Jack Girafa não teve o comportamento pacato que se espera da gigante das savanas.",nsubj
