,inputs,prediction,prediction_agent,annotation,annotation_agent,multi_label,explanation,id,metadata,status,event_timestamp,metrics,search_keywords
0,"{'text': 'Los dos asambleístas valoraron el gesto de Urribarri y de Guastavino , pero advirtieron que no sea una cosa de campaña electoral sino que se ocupen de verdad , porque el problema es muy serio y grave .'}","[('obj', 0.28962782268116494), ('expl:pass', 0.23809876358737295), ('expl:pv', 0.22920045573600611), ('iobj', 0.12552726392380656), ('expl:impers', 0.1175456940716495)]",LogisticRegression,expl:pv,rubrix,False,,89,{},Validated,,{'text_length': 201},
1,"{'text': 'El trabajo de el compositor-escritor Carabén comenzó con su carrera en Francia , cuando decidió ir se a el país vecino a buscar otros aires .'}","[('expl:pv', 0.2832995348223429), ('iobj', 0.2782188618843587), ('expl:pass', 0.16713482374548763), ('obj', 0.1637151094558837), ('expl:impers', 0.10763167009192713)]",LogisticRegression,expl:pv,rubrix,False,,213,{},Validated,,{'text_length': 141},
2,{'text': 'Es que si no me lo creo yo ¿ quién coño se lo va a creer ?'},"[('iobj', 0.25808977775686587), ('expl:pv', 0.21716964890047552), ('expl:pass', 0.2128817634448986), ('expl:impers', 0.17200483818874304), ('obj', 0.139853971709017)]",LogisticRegression,iobj,rubrix,False,,214,{},Validated,,{'text_length': 58},
3,"{'text': 'El Papa emérito Benedicto sigue la invitación a ayunar y rezar de Papa Francisco , escribió la agencia de prensa francesa I.Media , que se especializa en información vaticana .'}","[('obj', 0.323576065889848), ('expl:impers', 0.31260061386943067), ('expl:pv', 0.2300412883915997), ('expl:pass', 0.12214951086833031), ('iobj', 0.011632520980791379)]",LogisticRegression,expl:pv,rubrix,False,,372,{},Validated,,{'text_length': 176},
4,"{'text': 'Por cierto , luego las religiones hacen miles de afirmaciones que pueden falsear se con facilidad .'}","[('expl:pv', 0.278499482617195), ('iobj', 0.2524468126067607), ('expl:impers', 0.24077943667343943), ('obj', 0.1543886203364471), ('expl:pass', 0.07388564776615775)]",LogisticRegression,expl:impers,rubrix,False,,416,{},Validated,,{'text_length': 99},
5,{'text': 'Y también sé de personas a las que se les han regalado libros sobre ?'},"[('obj', 0.28646671459418216), ('expl:pass', 0.25463401058752116), ('expl:impers', 0.24719881223286505), ('expl:pv', 0.14697815467117406), ('iobj', 0.06472230791425757)]",LogisticRegression,expl:pass,rubrix,False,,448,{},Validated,,{'text_length': 69},
6,"{'text': 'Los diputados de el arco nokirchnerista celebraron la decisión de el gobierno , aunque entendieron que se trata de una medida electoralista .'}","[('obj', 0.3021278140694966), ('expl:pv', 0.2795791408512936), ('expl:impers', 0.1918326497105545), ('expl:pass', 0.18612809666028904), ('iobj', 0.040332298708366306)]",LogisticRegression,expl:impers,rubrix,False,,465,{},Validated,,{'text_length': 141},
7,"{'text': 'jueves , 15 de agosto de 2013 En pleno invierno tuvimos un lindo día de sol , lo que se llama el veranito de San Juan o como decía Hemmingway la falsa primavera .'}","[('obj', 0.27717090769711444), ('expl:pass', 0.2745212841136952), ('expl:impers', 0.23726043013561132), ('expl:pv', 0.14073761413393787), ('iobj', 0.07030976391964108)]",LogisticRegression,expl:pv,rubrix,False,,627,{},Validated,,{'text_length': 162},
8,"{'text': 'Otros también tendrán que marchar se , añade .'}","[('obj', 0.2915639314409342), ('iobj', 0.2729085350693996), ('expl:pass', 0.19804894356316996), ('expl:impers', 0.18872658543617293), ('expl:pv', 0.04875200449032343)]",LogisticRegression,expl:pv,rubrix,False,,704,{},Validated,,{'text_length': 46},
9,"{'text': 'Es como en el Mundial , él decidió saltar se las eliminatorias .'}","[('obj', 0.30817796480811455), ('expl:pass', 0.26145323052981334), ('expl:pv', 0.23415318017048814), ('expl:impers', 0.12783429657463669), ('iobj', 0.06838132791694718)]",LogisticRegression,expl:pv,rubrix,False,,717,{},Validated,,{'text_length': 64},
10,{'text': 'para saludar te esperando que todos se encuentren muy bién .'},"[('expl:pv', 0.298275678004351), ('obj', 0.2717417740612964), ('expl:impers', 0.23799477899081328), ('expl:pass', 0.17508578664406105), ('iobj', 0.016901982299478265)]",LogisticRegression,expl:pv,rubrix,False,,732,{},Validated,,{'text_length': 60},
11,{'text': 'Aunque se puede aplicar a cuanto terreno quieras porque de colas estamos más que rodeados .'},"[('expl:pass', 0.26839031584864464), ('expl:pv', 0.22151920237700198), ('obj', 0.22021534289063188), ('expl:impers', 0.16747267490111536), ('iobj', 0.12240246398260629)]",LogisticRegression,expl:impers,rubrix,False,,889,{},Validated,,{'text_length': 91},
12,"{'text': 'Hablando de accesorios ; ósea zapatos , bolsos , correas , pulseras , prendedores , pashminas , collares o cualquier otro de los tantos que existen ; no se olviden de las uñas .'}","[('obj', 0.28861259422100327), ('iobj', 0.2159856738801413), ('expl:pass', 0.1940120297855089), ('expl:impers', 0.17680969063913135), ('expl:pv', 0.12458001147421517)]",LogisticRegression,expl:pv,rubrix,False,,968,{},Validated,,{'text_length': 177},
