	tokenized_text	second_pool
0	Los cargos fueron 138 , pero esa suma se incrementó debido a que muchos realizaron cambio de escuelas , abriendo otras oportunidades .	expl:pv
1	Viernes 2 de Agosto a las 09:00 : Congreso Provincial en Colón , donde se tratará la contra propuesta realizada por el Gobierno de la Provincia , que llevó a la suspensión de el para programado para el reinicio de clases , tras las vacaciones invernales .	expl:pv
2	Weretilneck anunció que se reforzará la seguridad en Sierra Grande Sierra Grande .	expl:pv
3	- El gobernador de Río Negro , Alberto Weretilneck , anunció esta tarde que se trabajará para refuncionalizar el destacamento vial de Sierra Grande , reemplazando el actual por uno que cumpla con todas las características necesarias para mejorar el control de las rutas .	expl:pv
4	Paralelamente se tramitará la construcción de un nuevo puesto que cumpla con todas la necesidades de el personal para realizar sus tareas .	expl:pv
5	Agenda Por otra parte , el titular de el Ejecutivo provincial anunció que el próximo martes a las 18 se realizará la teleconferencia con la Presidenta de la Nación , Cristina Fernández , que fue suspendida esta semana por el trágico accidente ocurrido a pocos kilómetros Puerto Madryn .	expl:pass
6	Acompañamiento Por otra parte , señaló que se reunió con familiares de Aldo Pil y Paola Alegría , dos personas que perdieron la vida trágicamente en los últimos días en esa localidad .	expl:pv
7	Educación Finalmente , el gobernador destacó que están muy avanzados los arreglos que se ejecutan en el Centro de Educación Técnica Nº 12 de la localidad .	expl:pv
8	Hoy vinimos y verificamos las obras que están en marcha y muy avanzadas , dijo el mandatario , quien además anunció que luego se trabajará en el reacondicionamiento de la instalación eléctrica de el edificio .	expl:pv
9	A finales de 2009 hubo un pequeño alboroto mediático en España a el descubrir se que la Junta de Extremadura , en manos de los socialistas , había organizado , dentro de su plan de educación sexual de los escolares , unos tal eres de masturbación para niños y niñas a partir de los catorce años , campaña a la que bautizó , no sin picardía El placer está en tus manos .	expl:pv
10	¡ A masturbar se , pues , niños y niñas de el mundo !	expl:pv
11	Si se tiene la audacia de abrir tal eres para iluminar a la puericia en las técnicas de la masturbación , estas preguntas son pertinentes .	expl:pv
12	La vacuidad y chabacanería que han ido socavando la cultura han estropeado también en cierta forma otra de las más importantes conquistas de nuestra época en los países democráticos : la liberación sexual , el eclipse de muchos tabúes y prejuicios que rodeaban la vida erótica .	expl:pv
13	La masturbación no necesita ser enseñada , ella se descubre en la intimidad y es uno de los quehaceres que fundan la vida privada .	expl:pv
14	Sacar a el sexo de las alcobas para exhibir lo en la plaza pública es , paradójicamente , no liberalizar lo sino regresar lo a los tiempos de la caverna , cuando , como los monos y los perros , las parejas no habían aprendido todavía a hacer el amor , sólo a ayuntar se .	expl:pv
15	La supuesta liberación de el sexo , uno de los rasgos más acusados de la modernidad en las sociedades occidentales , dentro de la cual se inscribe esta idea de dar clases de masturbación en las escuelas , quizá consiga abolir ciertos prejuicios tontos sobre el onanismo .	expl:pv
16	De otro lado , aunque sin desaparecer del todo , han ido reduciéndo se los prejuicios y anatemas y las disposiciones legales que hasta hace pocos años penaban la homosexualidad por considerar la una práctica perversa .	expl:pv
17	Poco a poco va admitiéndo se en los países occidentales el matrimonio entre personas de el mismo sexo con los mismos derechos que los de las parejas heterosexuales , incluido el de adoptar niños .	expl:pv
18	Ése es un dominio privado y secreto y deberíamos procurar que siga siéndo lo si no queremos cegar una de las fuentes más intensas de el placer y de la creatividad , es decir , de la civilización .	expl:pv
19	La desaparición de los prejuicios , algo liberador , en efecto , no puede significar la abolición de los rituales , el misterio , las formas y la discreción gracias a los cuales el sexo se civilizó y humanizó .	expl:pass
20	Con sexo público , sano y normal , la vida se volvería más aburrida , mediocre y violenta de lo que es .	expl:pv
21	Tal vez en ninguna otra actividad se haya ido estableciendo una frontera tan evidente entre lo animal y lo humano como en el dominio de el sexo .	expl:pv
22	Freud los l amó la vocación tanática , que se disputa con el instinto vital y creativo - - el Eros - - la condición humana .	expl:pv
23	Por eso el erotismo no sólo encuentra en la prohibición un acicate voluptuoso , también un límite violado el cual se vuelve sufrimiento y muerte .	expl:pv
24	La literatura libertina es muy desigual , desde luego , no abundan las obras maestras entre las que produjo , aunque se encuentran algunas novelas o textos de gran valía en medio de muchas otras de escasa o nula significación artística .	expl:pv
25	La limitación principal que suele empobrecer la es que , concentrados de manera obsesiva y excluyente en la descripción de experiencias sexuales , los libros sólo eróticos pronto sucumben a la repetición y a la monomanía , porque la actividad sexual , aunque intensa y fuente maravillosa de goces , es limitada y , si se la separa de el resto de actividades y funciones que constituyen la vida de hombres y mujeres , pierde vitalidad y ofrece un carácter recortado , caricatural e inauténtico de la condición humana .	expl:pv
26	La literatura erótica se vuelve pornografía por razones estrictamente literarias : el descuido de las formas .	obj
27	Es decir , cuando la negligencia o la torpeza de el escritor a el utilizar el lenguaje , construir una historia , desarrollar los diálogos , describir una situación , desvela involuntariamente todo lo que hay de soez y repulsivo en un acoplamiento sexual exonerado de sentimiento y elegancia - - de mise en scène y de rito - - , convertido en mera satisfacción de el instinto reproductor .	expl:pv
28	Los integrantes de el Consejo recordaron que la Ley de Medios es el fruto de un proceso de profundo debate democrático , de foros , audiencias públicas , charlas y movilizaciones , que tuvieron la participación activa y comprometida de organizaciones sociales , de derechos humanos , de universidades nacionales , de pueblos originarios , sindicatos , empresas pymes , cooperativas y comunitarias , y que se desarrollaron en todo el país .	expl:pv
