Nem Lula nem o partido ainda encontraram um discurso para se diferenciar.	Nem Lula nem o partido ainda encontraram um discurso para se diferenciar .	expl
Eles se dizem oposição, mas ainda não informaram o que vão combater.	Eles se dizem oposição , mas ainda não informaram o que vão combater .	expl
Os jogadores se dividem pelos dez quartos do alojamento, equipados com frigobar, ar condicionado, televisão e telefone.	Os jogadores se dividem por os dez quartos de o alojamento , equipados com frigobar , ar condicionado , televisão e telefone .	expl
O atacante, que deveria ter se apresentado anteontem à noite, pediu mais um dia de folga ao treinador.	O atacante , que deveria ter se apresentado anteontem a a noite , pediu mais um dia de folga a o treinador .	expl
Se eu dirigisse uma federação, apresentaria balanços mensais e liberaria minhas contas bancárias.	Se eu dirigisse uma federação , apresentaria balanços mensais e liberaria minhas contas bancárias .	mark
Herbert Berger, diretor-superintendente da empresa, diz que o Charade se aproxima do Honda Civic em tamanho e custa bem menos.	Herbert Berger , diretor-superintendente de a empresa , diz que o Charade se aproxima de o Honda Civic em tamanho e custa bem menos .	expl
Começou bem antes do que se previa a batalha pela futura sucessão na Fifa apenas seis meses depois do super-acordo que, nas vésperas da Copa, reconduziu o brasileiro João Havelange ao sexto mandato consecutivo.	Começou bem antes de o que se previa a batalha por a futura sucessão em a Fifa apenas seis meses depois de o super-acordo que , em as vésperas de a Copa , reconduziu o brasileiro João Havelange a o sexto mandato consecutivo .	nsubj
Abstratos entre medianos e medíocres, como Fukushima, Pérsio, Raimo e Douchez, têm o mesmo ou maior destaque que Volpi e nada que se possa chamar de autonomia para oferecer como lenitivo.	Abstratos entre medianos e medíocres , como Fukushima , Pérsio , Raimo e Douchez , têm o mesmo ou maior destaque que Volpi e nada que se possa chamar de autonomia para oferecer como lenitivo .	nsubj
Romário não se exercitou nas cobranças de falta e pênalti.	Romário não se exercitou em as cobranças de falta e pênalti .	expl
Toda a comissão técnica sabe que Romário é de treinar pouco, geralmente se poupando entre dois jogos difíceis.	Toda a comissão técnica sabe que Romário é de treinar pouco , geralmente se poupando entre dois jogos difíceis .	expl
Não se trata simplesmente da questão da escravidão certamente ter tido efeitos duradouros sobre a cultura negra, nem mesmo dela ter exercido um amplo efeito negativo sobre a auto-confiança e auto-estima dos negros, mas mais especificamente da experiência da escravatura ter desvirtuado e tolhido a evolução do algoritmo etnocêntrico que os negros americanos teriam desenvolvido no decorrer normal dos acontecimentos.	Não se trata simplesmente de a questão de a escravidão certamente ter tido efeitos duradouros sobre a cultura negra , nem mesmo de ela ter exercido um amplo efeito negativo sobre a auto-confiança e auto-estima de os negros , mas mais especificamente de a experiência de a escravatura ter desvirtuado e tolhido a evolução de o algoritmo etnocêntrico que os negros americanos teriam desenvolvido em o decorrer normal de os acontecimentos .	expl
Eles tiveram que fazer isso se os escravos fossem superiores em qualidades que os próprios brancos valorizavam, onde estaria a justificativa moral para mantê-los escravizados?	Eles tiveram que fazer isso se os escravos fossem superiores em qualidades que os próprios brancos valorizavam , onde estaria a justificativa moral para mantê los escravizados ?	mark
Mesmo a simples tentativa de se documentar esse ponto deixa uma pessoa exposta a acusações de condescendência e, assim, os brancos de fato conseguiram cooptar os julgamentos de valor.	Mesmo a simples tentativa de se documentar esse ponto deixa uma pessoa exposta a acusações de condescendência e , assim , os brancos de fato conseguiram cooptar os julgamentos de valor .	iobj
É ainda mais óbvio que é impossível falar abertamente sobre o superioridade de muitos atletas negros sem ser sujeito a acusações de que se estar sendo anti-negro de uma maneira enviesada.	É ainda mais óbvio que é impossível falar abertamente sobre o superioridade de muitos atletas negros sem ser sujeito a acusações de que se estar sendo anti-negro de uma maneira enviesada .	nsubj
Agora, os oficiais envolvidos se referem sempre ao comando das ações como Centro de Coordenação de Operações de Combate ao Crime Organizado (Ccocco).	Agora , os oficiais envolvidos se referem sempre a o comando de as ações como Centro de Coordenação de Operações de Combate a o Crime Organizado ( Ccocco ) .	expl
Para fazer uma boa compra, a técnica do Procon recomenda ao consumidor que verifique se já há dentro de casa os tradicionais equipamentos que desempenham as mesmas funções do conjugado, só que separadamente.	Para fazer uma boa compra , a técnica de o Procon recomenda a o consumidor que verifique se já há dentro de casa os tradicionais equipamentos que desempenham as mesmas funções de o conjugado , só que separadamente .	mark
Caso a opção seja pelo aparelho multiuso, o comprador deve checar se o produto tem assistência técnica, diz ela.	Caso a opção seja por o aparelho multiuso , o comprador deve checar se o produto tem assistência técnica , diz ela .	mark
Os arquivos são protegidos por senhas e códigos, que acabaram mostrando-se vulneráveis.	Os arquivos são protegidos por senhas e códigos , que acabaram mostrando se vulneráveis .	expl
O conselho fiscal entende que os acionistas não devem mais suportar investir dinheiro bom em companhia sem condições de se reerguer.	O conselho fiscal entende que os acionistas não devem mais suportar investir dinheiro bom em companhia sem condições de se reerguer .	iobj
QUADRINHISTAS DO BRASIL inteiro se reúnem entre sexta-feira e domingo em Araxá (MG).	QUADRINHISTAS DE O BRASIL inteiro se reúnem entre sexta-feira e domingo em Araxá ( MG ) .	expl
Pode-se agora recomendar um texto definitivo para o conselho da organização, disse o porta-voz.	Pode se agora recomendar um texto definitivo para o conselho de a organização , disse o porta-voz .	nsubj
Não falei nada, mas visualizei a Sra. Oke, sentada no salão amarelo, o mesmo salão onde nenhum Oke de Okehurst exceto ela ousava permanecer sozinho, envergando o vestido de sua antepassada e confrontando-se, por assim dizer, com aquela coisa vaga, plangente, que parecia permear o aposento ... aquela vaga presença assim me parecia do galante poeta assassinado.	Não falei nada , mas visualizei a Sra. Oke , sentada em o salão amarelo , o mesmo salão onde nenhum Oke de Okehurst exceto ela ousava permanecer sozinho , envergando o vestido de sua antepassada e confrontando se , por assim dizer , com aquela coisa vaga , plangente , que parecia permear o aposento ... aquela vaga presença assim me parecia de o galante poeta assassinado .	expl
O relatório não diz se as reuniões entre funcionários da Casa Branca e do Tesouro violaram a ética.	O relatório não diz se as reuniões entre funcionários de a Casa Branca e de o Tesouro violaram a ética .	mark
Trata-se do segundo volume da exploração do pop asiático por David Byrne:	Trata se de o segundo volume de a exploração de o pop asiático por David Byrne :	expl
Pegam os dois pimpolhos Joana e Luca e se mandam para Lake Powell, Arizona.	Pegam os dois pimpolhos Joana e Luca e se mandam para Lake Powell , Arizona .	expl
Também é necessário alertar toda a sociedade para a importância de se reduzir as perdas de alimentos.	Também é necessário alertar toda a sociedade para a importância de se reduzir as perdas de alimentos .	nsubj
O mesmo não se pode dizer da pintura de Cy Twombly.	O mesmo não se pode dizer de a pintura de Cy Twombly .	nsubj
Passamos por dificuldades: meu pai perdeu praticamente todo o seu patrimônio por se dedicar 100 % à política	Passamos por dificuldades : meu pai perdeu praticamente todo o seu patrimônio por se dedicar 100 % a a política	expl
Com a intervenção no Rio, que se cuide o resto do país!	Com a intervenção em o Rio , que se cuide o resto de o país !	obj
O candidato deu rápida entrevista no saguão do aeroporto e dirigiu-se ao Hotel Delmonicos, na Park Avenue, em Manhattan, onde a diária é de US$ 195 (CR$ 253 mil) no fim de semana e US$ 250 (CR$ 325 mil) de segunda a sexta-feira.	O candidato deu rápida entrevista em o saguão de o aeroporto e dirigiu se a o Hotel Delmonicos , em a Park Avenue , em Manhattan , onde a diária é de US$ 195 ( CR$ 253 mil ) em o fim de semana e US$ 250 ( CR$ 325 mil ) de segunda a sexta-feira .	expl
Pelas razões alinhadas, que não refletem apenas conjeturas teóricas, mas a experiência duramente vivida pela nação nas últimas duas décadas, se impõe dar um basta definitivo a todos os remanescentes de indexação formal, sejam eles nas taxas de juros nominais (TR), no recolhimento dos tributos (Ufir e correlatos) e nos salários (IPC-r).	Por as razões alinhadas , que não refletem apenas conjeturas teóricas , mas a experiência duramente vivida por a nação em as últimas duas décadas , se impõe dar um basta definitivo a todos os remanescentes de indexação formal , sejam eles em as taxas de juros nominais ( TR ) , em o recolhimento de os tributos ( Ufir e correlatos ) e em os salários ( IPC-r ) .	nsubj
