,1,0
"... E, se o dr. Soares tivesse praticado desporto na escola, será que, hoje, pensaria da mesma maneira?",mark,1
"Ontem, os bancos já se adequaram às novas regras.",expl,1
O sistema encontra-se disponível no mercado português e faz parte do pacote proposto aos franchisados.,expl,1
"O talento de Barros continua lá, apesar de Marilia Pêra se empenhar em tomar conta do filme com um histrionismo fora de lugar.",expl,1
"O também ex-jornalista da RTP lembrou que se está a voltar à ideia de que o accionista deve interferir na vida das empresas, mas referiu que o jornal para ser credível, não pode ser portador de recados do seu proprietário.",nsubj,1
"O taxista não se ficou e, com a segurança que a dimensão do seu porte lhe dá, foi atrás deles, exigindo o seu dinheiro.",expl,1
"O tema da água, ligado aos oceanos como proposta genérica da Expo-98, permite abordar esse elemento em todos os seus estados, liquído, físico e gasoso, e obviamente relaciona-se com o próprio processo fotográfico.",expl,1
O time pode empatar a segunda partida para se classificar.,expl,1
"O tribunal considerou, porém, que as afirmações de Craveiro Lopes são objectiva e subjectivamente difamatórias e susceptíveis de atingir senão a essência da personalidade destes, pelo menos o património do seu bom nome, do crédito e da confiança por eles adquiridos enquanto pessoas, cidadãos e agentes da autoridade numa comunidade pequena onde todos se conhecem.",expl,1
"O tricolor, após tantas decepções na temporada, vai às finais da Conmebol, caça-níqueis tão inexpressivo que o próprio São Paulo inscreveu apenas jogadores jovens, que se denominaram Leões, ao invés do tradicional Expressinho.",obj,1
O técnico irritou-se com uma pergunta e não a respondeu.,expl,1
"O vice-primeiro-ministro e ministro dos Negócios Estrangeiros iemenita, Abdel Kader Bajamal, deverá deslocar-se hoje à Arábia Saudita para tentar desbloquear a querela, disse à AFP um diplomata em Sanaa, capital iemenita.",expl,1
"O índice FTSE-100 da Bolsa de Londres subiu 0,92 por cento, enquanto o CAC-40, de Paris, valorizou-se 1,43 por cento.",expl,1
"Ontem, ela foi ao aeroporto e se disse contente por tê-lo de volta ao colo.",expl,1
"Ontem, vários operadores da Bovespa creditavam a queda do índice da bolsa à percepção do mercado financeiro de que o PFL leia-se ACM está desembarcando da candidatura de FHC.",nsubj,1
"O seu vestido escuro durante o funeral de Estaline, quando, apesar da multidão que se apinhava ao longo dos muros, para ela havia espaço, para que ninguém sequer lhe tocasse.",expl,1
"Os Cocteau Twins fecharam a 18ª edição do Printemps de Bourges, infelizmente sem aquilo a que se pode chamar uma chave de ouro.",nsubj,1
"Os Encontros Acarte propunham-se responder a esse duplo anseio: informar o público e estimular os autores portugueses, na perspectiva de os despertar para as estéticas do pós e neo-modernismo.",iobj,1
"Os Fados dAquém e dAlém-Mar que João Braga concebeu para o Centro Cultural de Belém traduziram-se numa exibição confrangedora de equívocos e falta de preparação onde couberam amigos, muito Fernando Pessoa, uma boa voz, de Rita Guerra, e uma anedota brasileira de mau-gosto.",expl,1
"Os New York Knicks venceram terça-feira no seu reduto os Chicago Bulls, por 96-91, passando a liderar, por 2-0, a final da Conferência Leste da Liga Norte-Americana de Basquetebol Profissional NBA, que se disputa à melhor de sete encontros.",expl,1
"Os acasos e interrupções misteriosas da música noturna bartokiana se fizeram, em Lutoslawski, silêncios e vibrações aleatórias da orquestra.",expl,1
"Os agentes políticos, sociais e econômicos também têm de se reciclar, pois sua ação sobre o Legislativo paulistano só ocorre em função de interesses específicos.",expl,1
"Os arqueólogos chamados ao local avaliaram o achado como sendo da época de Júlio César, mas só agora, após diversas investigações das arqueólogas Ana Arruda e Catarina Viegas, acompanhadas por técnicos do Instituto Português do Património Arquitectónico e Arqueológico, se chegou a um consenso pleno.",nsubj,1
"Os arquivos são protegidos por senhas e códigos, que acabaram mostrando-se vulneráveis.",expl,1
"Os britânicos advogam que a substânca em questão, o ciclamato 30 vezes mais doce do que o açúcar não é seguro para o ser humano e ameaçam vetar uma lei sobre a segurança alimentar, que os ministros do comércio da CEE estão a discutir, se o produto não for proibido.",mark,1
"Os cantores sucedem-se, Miguel Ângelo já pula, por momentos dança à Elvis e põe o concorrente a dançar.",expl,1
Os custos desta pesada estrutura tornaram-se insuportáveis para o país.,obj,1
Os da casa estão ainda muito longe de uma boa forma física e a partir dos 25 minutos do primeiro tempo refugiou-se quase sempre na defesa.,expl,1
"O sistema antigo só se mantém para os Centros de Entre-os-Rios, São Pedro do Sul e Foz do Arelho.",expl,1
"O seu desejo é sentar-se no Conselho Palestiniano, onde Yasser Arafat reservou uma cadeira para um dos três candidatos do mais pequeno e mais antigo povo do mundo os samaritanos.",expl,1
O jogo dos visitantes descreve-se com uma palavra: paupérrimo.,expl,1
"O presidente cessante da Comissão Europeia, Jacques Delors, não se apresentou ainda como o candidato da esquerda à sucessão do seu correlegionário Mitterrand.",obj,1
"O livro depois mudou, e os cegos tornaram-se personagens passionais, e obscenas na sua violência, esse livro depois de escrito continha tudo, o infinito, a transparência, o medo, as imagens do escuro, continha uma criança cega que não admitia não ver e inventava, e Josette que torturava ratos, uma mulher casada, um marido e um amante, e depois havia uma vingança.",obj,1
"O mal residia, enfim, no fato de que a política real da UDN se traduzia no que conspirava entre quatro paredes, sem uma antena parabólica que lhe pusesse termo e sem uma imprensa independente que revelasse, livre de paixões partidárias, sua vocação para renunciar ao Estado de Direito ao toque da primeira corneta.",expl,1
"O mesmo não se passa na Bósnia, onde as etnias convivem ao simples nível da coabitação.",expl,1
O mesmo não se pode dizer da pintura de Cy Twombly.,nsubj,1
O ministro limitou-se a dizer que havia conversado por telefone com assessores do presidente Itamar Franco sobre a proposta de uma nova legislação contra abusos do poder econômico.,expl,1
O ministro português da Administração Interna avistou-se ontem com o ministro holandês da Justiça para receber os dossiers sobre a imigração e do Grupo de Trevi que transitam da presidência holandesa da Comunidade para a portuguesa.,expl,1
"O mundo está a tornar-se amigo das mulheres, mas as salas dos conselhos de administração não.",expl,1
"O objectivo genérico destas iniciativas, patrocinadas pela União Europeia, é o desenvolvimento de uma política global de redução da insegurança, à volta de quatro eixos fundamentais: respeito pelos direitos humanos, participação activa dos cidadãos na definição e aplicação da política de segurança requerida, aposta em soluções de partenariado envolvendo os sectores público e privado e preocupação com a segurança do cidadão, para evitar que ele se torne autor ou vítima de crimes.",expl,1
"O otimismo de Van Himst se justifica, em parte, pela entrada do centroavante belgo-croata Josip Weber no time.",expl,1
O pedreiro adiantou que ainda esteve tentado a dirigir-se ao carro e dizer ao fulano que o Carnaval já acabou.,obj,1
"O politicamente correto institucionalizou-se, mas nem os americanos o suportam, exceto, é claro, os eternos paroquiais.",expl,1
"O presidente argentino, Carlos Menem, disse que lançará sua candidatura para a eleição de 2003 se for eleito em 1995.",mark,1
"O presidente desculpou-se, lembrando-lhe, mais uma vez, que tudo aquilo é provisório.",obj,1
O respeito que se impõe.,expl,1
"O presidente disse que pediu ao ministro das Minas e Energia, Alexis Stepanenko, que cheque também as estatais ligadas a ele para saber se também houve desobediência.",mark,1
"O preço mínimo por acção é de 1980 escudos, valor que se encontra próximo da oferta pública de aquisição final feita pelo Banco Português de Investimento, em Fevereiro, o que atribui ao BF um valor global de 158,5 milhões de contos.",expl,1
"O procurador adiantou que já lhe foi entregue um parecer sobre o caso, mas só deverá pronunciar-se dentro de 15 dias.",expl,1
O próprio Gorbatchov considerara imoral a expulsão de Honecker mas a posição política em que se encontra actualmente o Presidente soviético não é a mais propícia para fazer fazer as suas opiniões.,expl,1
O próprio agredido informou à polícia de que não se tratava dos agressores.,expl,1
"O próprio professor Cavaco, de modesta fortuna, farto de nos aturar, mandou tudo àquele sítio aplicando uma bofetada sem mão aos que vivem da politiquice e retomará a carreira profissional ganhando o dobro, chateando-se pela metade.",expl,1
"O que Américo Amorim não confirma, recusando-se a pagar qualquer prestação de serviços.",expl,1
"O que espanta, porém, não é que se pretenda fazer marcha atrás relativamente a um referendo que devia ter sido realizado há já muito tempo.",nsubj,1
"O que se sabe, concretamente, é que neste momento o número de portadores do cartão de eleitor em Angola já ultrapassou os 4,3 milhões e o alargamento do prazo de registo até 10 de Agosto permitirá recensear as pessoas que vivem nos lugares mais remotos do território.",nsubj,1
"O real terá que ter uma referência em relação ao dólar, segundo Amaral, que não quis dizer se o câmbio será fixo ou variável.",mark,1
"O relatório adianta que todos os relatos de tortura e maus tratos se referiam a pessoas que tinham sido detidas sob suspeita de terem cometido delitos criminais, tendo em muitos dos casos sido libertadas sem serem inculpadas.",expl,1
O relatório não diz se as reuniões entre funcionários da Casa Branca e do Tesouro violaram a ética.,mark,1
"Os desfiles se realizam pelo segundo ano em tendas ou pavilhões localizados no Bryant Park, que fica atrás da Biblioteca Nacional, na rua 40.",expl,1
"Os despojos do escritor francês era um dos 19 cadáveres descobertos em Novembro, na região de Verdun, local da batalha contra o exército alemão onde se sabia que Alain Fournier tinha sucumbido.",nsubj,1
"Os diplomatas brasileiros queixam-se da falta de recursos, já que são obrigados a cobrir muitas despesas com dinheiro do próprio bolso.",expl,1
Parte do crescimento de Fernando Henrique na última pesquisa Datafolha deve-se à evolução do tucano entre os eleitores que declaram simpatia pelo PMDB de Orestes Quércia e pelo PPR de Esperidião Amin.,expl,1
"Para os operadores, também aqui as valorizações se ficaram a dever à reentrada de novos investidores, nomeadamente fundos de investimento internacionais.",expl,1
"Para que possa não responder às violações marroquinas, a parte sarauí exige que a comunidade internacional lance um alerta a Marrocos para que cesse as provocações e para que se comnporte de forma responsável, respeitando os seus compromissos, declarou a Polisário, organização que luta pela independência do território do Sara Ocidental, num comunicado divulgado em Argel.",expl,1
"Para que se aproveite o espaço ao máximo, há zonas que têm de ser encolhidas, o que acontece com a casa de banho.",nsubj,1
Para quem vai fazer a pesquisa no computador a separação de dados não faz nenhuma diferença: tudo funciona como se fizesse parte de um só arquivo.,fixed,1
"Para se ter uma idéia da importância da InterNet, a Casa Branca está conectada a essa rede, disponibilizando publicações e documentos para qualquer pessoa do mundo.",nsubj,1
"Para se ter uma idéia, no Brasil a melhor marca é de Hilma, com 3,12m.",nsubj,1
"Para tal, referiu aquele responsável, foram montadas mais estruturas, mais zonas estão abrangidas e, por isso, mais pessoas se podem candidatar.",expl,1
"Para tentar se recuperar do jet lag e da correria da exposição do marido no Yerba Buena, Regina Casé fez ontem saída pela tangente.",expl,1
"Paradoxalmente, é por aí que se podem ver as virtudes de Figgis.",expl,1
"Parece-me lógico ligar um acordo de concertação social ao Quadro Comunitário de Apoio QCA e ao PDR, na vertente específica de um acordo de concertação social e, mais do que isso, porque o primeiro-ministro afirmou aqui, na reunião, que está disposto a que o próprio acordo contemple medidas de acompanhamento e de avaliação do QCA e do PDR, visto que pode acontecer que os cenários macro-económicos e macro-sociais se alterem face ao previsto no PDR e no QCA.",expl,1
Parece-me que nela se continuam a misturar alhos com bugalhos e a não hierarquizar adequadamente nem as convicções de fé nem as razões.,expl,1
"Parecia um pouco volumoso para tão pouca coisa, mas logo se colocou a hipótese do extracto ir acompanhado de algum folheto de publicidade a um novo produto verdadeiramente arrasador.",nsubj,1
Parte-se depois para o debate.,nsubj,1
"Os dois criminosos, um antigo soldado de elite do exército da Alemanha de Leste de 32 anos, e um suíço de 35, evadiram-se, há três semanas, de uma prisão de Hamburgo, acusados de homicídio e assalto à mão armada.",obj,1
"Partiram para um El Dorado, deparam-se agora com a perspectiva de uma reforma antecipada ou do desemprego forçado.",obj,1
Passamos por dificuldades: meu pai perdeu praticamente todo o seu patrimônio por se dedicar 100 % à política,expl,1
"Paulo Silva Fluorescente foi o vencedor do Campeonato Nacional de bodyboard, que também se realizou na Figueira da Foz.",expl,1
"Pedia-se 62,50m, que quase ninguém fez, mas aí não residiu o problema:",nsubj,1
"Pegam os dois pimpolhos Joana e Luca e se mandam para Lake Powell, Arizona.",expl,1
Pegou no papel e na caneta e foi-se embora.,expl,1
"Pelas razões alinhadas, que não refletem apenas conjeturas teóricas, mas a experiência duramente vivida pela nação nas últimas duas décadas, se impõe dar um basta definitivo a todos os remanescentes de indexação formal, sejam eles nas taxas de juros nominais TR, no recolhimento dos tributos Ufir e correlatos e nos salários IPC-r.",nsubj,1
"Pelo caminho, tinha repudiado uma insinuação de Damásio, que, no seu discurso, se referiu à sua comissão como sendo constituída por críticos ou opositores da actual direcção.",expl,1
"Pelo preço de CR$ 6.200, os clientes poderão se servir à vontade do ravióli com recheio de salmão.",expl,1
"Pelo que, muito provavelmente, voltariam a abster-se de ir às urnas.",expl,1
"Pense-se em Kingsley Amis, Malcolm Bradbury e Albert Finney.",expl,1
"Pense-se no romance que o primeiro escreveu The Green Man --, que o segundo adaptou e o terceiro interpretou.",expl,1
"Para o secretário geral da ASGFIM torna-se, no entanto, necessário proceder a certas alterações dentro do sector, por forma a torná-lo mais competitivo.",expl,1
"Para o presidente Carlos de Sousa, trata-se de um orçamento típico de um concelho rural e pobre com poucas receitas.",expl,1
"Para o ministro, a decisão deverá ser tomada em meados de 1993 e, se a escolha recair sobre Portugal, essa será uma boa altura em termos de incentivos.",mark,1
"Para muitos analistas o verdadeiro problema é o facto de não se poder falar do desenvolvimento da economia palestiniana como um facto isolado, porque ele só faz sentido integrado no desenvolvimento de todo o Médio Oriente.",nsubj,1
Os irmãos Gershwin eram tão diferentes que se completavam às maravilhas.,expl,1
"Os jogadores se dividem pelos dez quartos do alojamento, equipados com frigobar, ar condicionado, televisão e telefone.",expl,1
"Os jovens têm se encontrado em Atalaia, principalmente entre quarta-feira e domingo, quando são realizados jogos de voleibol.",expl,1
"Os líderes acertaram que, havendo quorum, o Orçamento de 95 só não será votado hoje se não ficar pronta a publicação do parecer aprovado na Comissão Mista de Orçamento, acolhendo cerca de R$ 2,5 bilhões em emendas.",mark,1
Os mercados inquietam-se.,expl,1
"Os mineiros estão dispostos a manifestar-se na sede do concelho em solidariedade com o seu camarada, ao mesmo tempo que está a ser preparado um abaixo-assinado.",obj,1
"Os olhos dele saíam para fora da cara e quase chegavam ao nível da cana do nariz, no caso de se apanhar de perfil a figura perdida e magríssima de João Carlos, que tanto podia ter vinte e poucos anos estragados, como muitos mais, e de facto tinha.",nsubj,1
Os parlamentos da federação croato-muçulmana e dos sérvios bósnios vão hoje pronunciar-se sobre o novo plano de paz internacional para a república.,obj,1
"Os primeiros descontos aconteceriam na folha de pagamento deste mês, que se encerra dia 15.",expl,1
"Os principais opositores do Presidente russo, Boris Ieltsin, vão reunir-se hoje em Moscovo para definirem uma estratégia que os leve ao poder.",expl,1
"Os quatro primeiros temas destinam-se a mostrar o papel de Portugal no mundo e o quinto, o único sem relação com a história nacional, é justificado pela experiência de Barcelona Port Aventura, que regista assinalável sucesso.",expl,1
"Os reféns, um homem e um casal, encontravam-se a cerca de 60 quilómetros a norte de Frankfurt.",obj,1
"Os testes de laboratório deram certo, e agora a empresa se prepara para comercializar essa mini-usina tratadora de esgotos.",expl,1
"Ou seja, podem não cumprir o fim para o qual são indicadas mas não deixam, por isso, de constituir perigo se forem ingeridos.",mark,1
"Outra das apostas é o turismo, esperando-se dois milhões de visitantes por ano e a criação de 30 mil a 50 mil postos de emprego.",nsubj,1
"Outra ideia exposta por Soltwedel foi a de que o mercado de trabalho, apesar de envolver pessoas, deve funcionar como qualquer outro mercado, acrescentando que os europeus têm de se livrar da ideia que os salários não têm nada a ver com o trabalho realizado.",obj,1
Outra pessoa com melhor currículo candidata-se ao mesmo emprego.,expl,1
P. As suas filhas compreendem o que se passou em Maio 68?,expl,1
"P. Mesmo que seja eleito, não se desvinculará do partido?",expl,1
"P. Quer dizer que nunca se acreditou num crescimento de três por cento e que a estimativa da receita foi feita, desde o início, a pensar em dois por cento ou menos?",nsubj,1
"Palma Inácio, ex-comandante operacional da LUAR, numa entrevista ao Expresso, afirma que não reconhece, aos que contra ele se colocam, envergadura moral para o ofender e lembra que o ELP de Spínola foi a organização mais terrorista de Portugal.",expl,1
"Para Alberto João Jardim, só a autonomia política da Madeira e de Porto Santo juntos permitiu grandes saltos nos últimos anos2 e seria suicídio para Porto Santo se essa solidariedade e unidade fossem quebradas.",mark,1
"Para Serra, se não for aprovada a emenda constitucional que desvincula dos fundos de participação dos Estados e municípios as receitas dos novos tributos, de nada adiantará o aumento de impostos.",mark,1
"Para fazer uma boa compra, a técnica do Procon recomenda ao consumidor que verifique se já há dentro de casa os tradicionais equipamentos que desempenham as mesmas funções do conjugado, só que separadamente.",mark,1
"Para isso, a comissão técnica não se cansa de estudar os outros times.",expl,1
"O kratos não é do povo; é seu, se tanto, o ouvido, o olhar.",case,1
"O jogo dos campeões escoceses, apesar das múltiplas tentativas dos futebolistas do Rangers de maior nome, como Hateley e Durrant, não só perdia ímpeto mas morria em qualidade, quando enfrentava o meio-campo do Celtic, onde McStay se exibia a grande altura.",expl,1
"Percebe-se que a grande massa de gente está ali mais ou menos como o Padrão dos Descobrimentos: para proporcionar à SIC o seu show de ilusão, a ideia de que uma multidão entusiástica rodeia o palco, o que serve às mil-maravilhas os primeiros planos das câmaras.",nsubj,1
"Não pondo em causa o direito dos clínicos de exigirem melhores condições remuneratórias e de trabalho, Maria Belém lembrou que, para se pedir mais dinheiro, temos de mostrar que fazemos mais e melhor.",nsubj,1
